passenger_class,gender,age,siblings_spouses,parents_children,ticket_fare,embarkation_port,survived
2,female,3,4,5,44.16,C,1
3,male,66,4,1,43.92,Q,1
1,,70,,4,282.43,,1
3,female,33,3,5,47.97,C,1
2,male,6,3,3,25.21,C,1
3,female,70,4,5,20.86,Q,1
2,male,45,1,1,42.28,S,1
1,male,38,3,0,78.7,S,1
2,male,70,3,3,78.69,C,1
3,female,45,0,4,39.24,S,1
2,female,42,1,2,53.74,C,1
2,male,57,3,0,28.09,S,0
1,male,43,2,5,59.31,C,1
2,male,4,0,5,84.48,Q,1
3,female,58,4,4,34.37,Q,1
2,male,2,1,1,72.9,C,1
3,male,19,0,4,10.55,S,1
3,,52,4,3,39.77,S,1
2,male,11,3,,57.2,C,1
1,male,10,1,3,90.17,C,1
2,male,15,2,5,92.82,C,0
1,male,2,,3,290.31,C,1
2,male,7,4,3,90.35,C,1
2,,44,4,4,97.67,S,1
3,male,32,5,1,20.7,C,0
1,male,5,2,3,278.94,C,1
3,male,38,1,1,21.49,C,1
1,female,59,5,0,99.08,S,1
2,male,39,1,2,28.56,C,1
2,male,44,2,3,53.17,Q,0
1,male,76,1,0,245.09,Q,1
1,female,31,5,1,206.7,Q,1
3,male,61,2,1,17.95,Q,1
1,male,41,1,5,234.38,S,1
2,male,7,0,3,77.74,S,1
1,male,77,0,3,209.83,Q,1
3,male,40,2,1,11.99,S,0
2,male,52,3,1,40.73,S,1
1,female,64,1,5,114.01,C,1
2,female,47,5,0,46.26,C,1
3,female,71,2,2,12.71,S,1
3,male,2,5,4,49.31,S,1
2,female,22,,3,62.36,S,1
1,male,,1,3,222.39,Q,1
3,male,24,4,0,39.37,S,0
2,female,20,4,4,84.33,Q,1
2,male,59,0,0,47.77,C,1
1,female,80,1,1,126.18,S,1
1,male,6,4,2,104.89,Q,1
1,female,4,5,4,228.59,C,1
2,female,78,3,4,97.52,S,1
3,male,64,1,2,27.13,C,1
1,male,77,5,1,287.46,Q,1
3,male,31,1,1,16.21,Q,0
1,female,43,5,1,106.15,S,1
2,male,21,4,1,94.2,S,0
1,male,67,1,5,194.96,S,1
1,male,22,3,1,286.65,C,1
3,male,57,5,5,46.66,S,0
1,female,36,1,1,163.35,S,1
3,female,72,4,0,10.51,S,1
3,male,52,2,4,14.38,C,0
1,male,,3,,161.58,C,1
1,male,17,0,5,,,1
3,female,63,1,1,31.88,C,1
3,female,66,5,2,23.71,Q,1
3,female,55,2,1,32.05,S,1
1,male,13,5,1,294.74,C,1
3,male,18,2,0,46.87,Q,1
3,male,16,4,0,32.43,C,0
1,female,33,4,4,268.67,C,1
2,female,1,2,3,65.16,Q,1
2,male,36,2,4,51.15,S,0
3,male,16,5,4,21.64,C,1
2,female,19,3,0,74.03,C,1
1,male,77,1,1,123.31,S,1
1,female,35,5,4,186.89,Q,1
1,male,68,4,4,228.06,C,1
2,male,46,1,1,42.77,C,1
1,female,53,4,1,180.57,Q,1
2,male,18,3,3,39.24,C,1
3,male,23,0,1,47.79,C,1
3,male,23,5,3,19.85,S,1
2,female,78,4,0,53.5,C,1
2,female,6,1,0,54.57,S,1
2,female,73,5,5,69.47,Q,1
1,male,43,5,5,137.65,C,1
2,female,31,5,5,93.29,S,1
2,male,6,1,2,44.09,C,1
1,female,80,4,0,134.78,C,1
1,male,18,2,4,266.52,S,1
1,female,63,4,4,93.4,Q,1
3,female,62,5,3,14.29,S,1
1,female,23,1,3,187.96,Q,1
1,female,65,1,4,271.71,C,1
1,female,11,2,3,263.37,S,1
1,male,59,4,2,279.27,S,1
3,male,49,3,5,34.7,S,0
2,female,60,5,2,79.43,Q,1
2,male,9,4,1,57.92,Q,1
3,female,28,1,4,11.52,C,1
1,male,80,1,5,186.37,S,1
2,male,56,0,2,31.64,S,0
2,male,4,0,4,48.31,C,1
3,female,21,1,0,42.49,C,1
1,female,4,2,5,79.07,Q,1
2,male,52,5,0,98.29,C,1
3,female,54,2,2,43.49,Q,1
2,female,28,0,1,53.14,S,1
3,male,12,3,5,15.35,S,0
1,male,17,2,2,222.17,S,1
2,female,50,5,3,51.11,Q,1
3,female,48,4,0,10.61,S,1
1,female,21,2,3,108.96,S,1
2,female,18,5,0,67.6,C,1
3,male,11,2,4,37.64,C,1
1,male,42,5,2,105.97,S,1
3,female,33,2,2,30.32,Q,1
3,male,58,1,0,44.13,Q,1
2,female,42,4,2,65.58,Q,1
2,female,76,5,3,94.09,Q,1
1,female,55,3,2,132.67,S,1
3,male,35,3,4,19.91,S,1
3,male,63,4,5,27.11,Q,1
3,male,21,0,4,22.89,S,0
1,male,55,2,1,195.45,Q,1
2,male,22,4,2,93.67,S,0
3,female,61,3,0,30.71,S,1
2,male,65,4,3,50.26,Q,1
1,male,29,5,2,180.4,C,1
2,male,12,2,1,78.19,S,0
3,male,44,0,4,30.53,C,0
3,male,72,3,1,17.53,Q,1
3,female,36,4,2,6.32,S,1
3,male,70,3,1,49.83,Q,0
2,male,24,5,0,56.4,C,1
2,female,75,5,4,76.52,Q,1
1,male,47,4,0,196.43,S,1
2,female,53,1,4,64.06,S,1
2,male,59,1,3,70.88,C,1
3,female,41,5,2,8.42,Q,1
2,male,55,1,1,75.8,S,1
1,male,14,1,3,227.09,Q,1
3,male,25,5,0,17.98,C,1
3,male,25,1,4,25.45,Q,0
3,male,77,2,3,27,S,0
2,female,46,1,4,78.27,Q,1
3,female,63,2,2,21.12,Q,1
2,female,41,2,5,22.16,S,1
2,male,8,5,3,63.99,S,1
1,male,65,5,2,99.36,S,1
1,male,61,1,3,76.39,Q,1
3,male,57,3,5,17.11,S,0
1,male,24,5,4,204.05,C,1
2,male,56,4,5,93.23,S,1
3,male,27,2,4,27.24,Q,1
1,female,63,5,4,152.73,S,1
1,female,42,5,3,256.3,C,1
2,female,66,5,2,98.54,C,1
3,male,70,5,4,11.7,Q,1
2,female,64,1,2,52.71,Q,1
3,female,5,4,5,24.78,S,1
1,male,55,5,5,202.3,S,1
3,male,50,4,5,32.09,C,0
1,female,46,2,4,273.01,C,1
2,male,3,0,5,22.58,C,1
1,female,62,5,1,189.26,S,1
2,female,66,3,4,99.47,Q,1
3,male,47,1,1,23.76,S,1
1,female,13,4,2,123.24,C,1
2,male,5,3,4,69.06,S,1
3,male,37,3,3,11.67,Q,0
2,male,46,2,1,48.02,Q,1
2,male,4,3,0,56.36,Q,1
1,female,36,1,1,74.62,S,1
2,male,33,2,5,27.03,C,1
2,male,33,1,2,36.01,S,1
1,female,17,0,1,168.45,C,1
2,male,42,1,4,87.77,C,1
3,male,13,2,4,34.71,Q,1
2,female,47,2,3,96.4,C,1
1,female,16,1,4,67.45,C,1
3,male,36,5,0,16.19,C,1
1,female,72,2,2,69.68,C,1
3,female,55,1,5,32.47,C,1
1,male,48,3,4,241.46,Q,1
1,male,75,5,2,176.64,C,1
1,female,38,0,2,184.75,C,1
2,male,73,0,0,60.28,S,1
1,male,40,4,1,160.83,C,1
1,female,79,2,2,223.2,C,1
2,male,80,0,1,38.06,S,0
2,male,43,3,3,67.35,Q,0
3,female,28,1,2,9.93,Q,1
1,female,17,0,2,154.95,Q,1
2,female,25,1,5,91.73,C,1
1,male,56,1,4,238.07,C,1
1,female,64,1,0,227.06,C,1
2,female,21,2,5,32.02,Q,1
2,male,21,0,0,60.69,S,1
1,male,44,1,2,145.24,Q,1
3,male,64,0,4,47.66,Q,1
1,female,72,1,5,276.94,S,1
3,female,27,2,4,26.52,S,1
1,male,78,5,3,116.33,Q,1
1,male,58,5,0,214.23,Q,1
1,male,33,4,1,277.45,S,1
2,male,11,3,4,26.28,S,1
,female,23,4,5,78.97,Q,1
2,female,76,3,0,62.42,S,1
2,female,9,0,4,78.48,C,1
2,male,74,5,2,44.18,S,1
1,male,51,5,5,69.31,Q,1
1,male,9,1,2,121.37,Q,1
1,female,52,5,2,208.32,Q,1
1,female,24,2,0,102.75,S,1
2,female,10,3,2,56.74,C,1
2,male,74,2,4,55.73,Q,0
2,female,28,1,0,91.27,Q,1
1,female,29,5,0,77.2,C,1
1,female,53,4,0,130.26,C,1
3,female,32,3,4,33.63,S,1
2,male,67,1,1,51.99,C,0
1,female,32,3,3,197.72,C,1
1,female,57,1,0,255.98,Q,1
1,female,,2,4,,C,1
2,male,57,0,4,25.18,C,0
1,male,22,5,3,196.64,Q,1
3,male,65,4,,26.43,Q,0
3,male,32,3,2,39.35,C,0
1,male,65,2,1,84.08,S,1
3,female,45,3,4,30.06,C,1
3,male,22,1,3,33.87,Q,0
3,male,34,0,2,32.69,S,1
3,male,3,,2,43.05,,1
2,male,20,4,5,92.34,S,1
3,female,56,2,1,31.63,S,1
2,male,73,2,2,41.21,C,0
1,,57,0,,146.75,S,1
1,male,29,1,5,290.7,S,1
2,female,39,5,4,63.81,C,1
2,female,70,4,5,89.72,S,1
2,female,42,0,3,35.63,Q,1
3,female,39,3,0,31.45,Q,1
2,male,49,4,0,47.54,C,1
3,male,34,2,0,41.81,S,0
3,male,49,2,4,41.45,C,1
3,male,58,5,1,21.21,Q,0
2,female,70,5,4,82.41,C,1
1,female,59,1,0,219.86,Q,1
1,female,75,5,2,231.88,Q,1
2,female,56,2,4,31.35,C,1
3,male,3,4,0,14.72,C,1
2,male,4,3,2,97.63,S,1
3,female,71,5,5,36.41,C,1
1,male,11,0,5,172.21,C,1
1,male,59,5,3,247.09,S,1
3,male,58,3,3,40.07,C,0
1,female,35,2,1,89.48,S,1
2,male,43,1,4,92.77,Q,0
3,male,9,0,5,25.43,Q,1
2,female,37,4,1,87.23,C,1
1,female,3,5,2,282.42,C,1
3,female,56,2,2,28.54,Q,1
3,male,60,3,1,38.42,C,1
3,male,19,1,1,12.68,Q,0
1,female,28,0,2,81.03,Q,1
1,male,7,1,5,52.58,C,1
1,female,57,4,2,84.33,S,1
2,female,31,0,4,43.22,C,1
3,female,59,5,4,13.01,Q,1
2,female,18,2,5,65.7,S,1
3,male,10,3,1,28.34,C,1
1,female,79,2,2,270.57,C,1
3,male,77,1,1,11.03,S,0
1,female,20,4,5,297.71,C,1
1,female,53,4,1,53.61,C,1
3,female,64,1,2,19.74,S,1
1,female,14,0,3,270.5,S,1
1,male,62,3,4,277.26,S,1
2,female,69,4,4,26.95,C,1
3,male,66,2,0,42.39,Q,1
2,male,26,1,2,21.15,C,1
3,male,3,0,0,7.31,C,1
2,male,4,0,3,64.26,S,1
1,male,65,4,0,219.81,Q,1
3,male,50,0,0,37.75,S,0
3,female,34,1,4,38.93,S,1
3,female,4,0,4,36.52,Q,1
1,male,50,0,0,156.58,S,1
1,male,28,0,1,135.61,Q,1
3,female,32,3,1,6.97,C,1
1,male,75,5,0,158.67,Q,1
1,male,35,4,4,199.45,C,1
2,female,17,0,4,42.7,S,1
1,female,40,3,4,275.07,C,1
1,male,72,4,4,97.96,Q,1
1,male,6,3,0,184.08,Q,1
2,female,53,3,1,91.31,Q,1
2,male,19,5,3,97.69,S,0
2,female,80,0,2,92.05,S,1
2,female,46,3,4,30.69,S,1
3,female,78,5,4,5.62,S,1
3,male,10,0,1,9.91,Q,1
2,male,21,3,4,25.38,C,0
3,female,45,1,4,23.64,C,1
3,female,40,0,4,22.81,S,1
2,male,61,3,3,86.37,Q,0
1,female,20,1,2,94.43,Q,1
1,female,59,2,1,71.92,S,1
1,female,28,3,4,139.75,S,1
3,male,37,3,3,9.89,C,1
3,male,75,5,2,36.19,C,1
3,male,58,5,1,22.8,S,0
2,male,46,4,3,46.28,C,0
1,male,77,5,4,264.96,C,1
2,female,6,4,4,83.5,Q,1
2,male,42,0,5,35.86,C,1
3,female,59,5,5,33.74,C,1
3,male,65,3,3,44.73,S,1
1,male,23,2,1,125.04,C,1
1,male,69,3,0,174.67,C,1
1,male,9,0,2,204.33,S,1
2,female,57,2,2,94.68,Q,1
3,male,79,4,0,29.08,S,0
1,male,80,0,3,296.82,C,1
2,female,64,3,1,80.07,C,1
3,male,37,2,2,14.81,Q,1
1,female,43,2,1,160.12,Q,1
2,female,50,3,0,73.77,S,1
3,male,50,2,1,21.76,Q,0
2,female,48,4,0,30,Q,1
2,female,76,2,3,21.01,S,1
2,male,33,1,4,22.52,Q,0
3,female,54,1,0,42.24,S,1
2,female,45,2,1,84.33,Q,1
2,female,30,1,4,60.43,S,1
1,female,37,4,2,114.22,C,1
2,female,13,4,5,72.01,S,1
1,female,11,4,4,166.36,C,1
3,male,5,1,3,32.33,Q,1
3,male,62,2,0,8.65,C,1
1,male,56,0,1,281.99,Q,1
3,female,27,2,1,18.63,C,1
3,female,38,2,2,14.2,C,1
2,female,41,3,2,85.02,Q,1
3,female,32,4,0,17.06,Q,1
2,female,17,4,2,53.3,S,1
2,male,68,2,5,30.89,S,0
2,female,1,4,4,62.46,C,1
1,male,32,0,1,75.55,Q,1
3,female,43,0,4,19.47,Q,1
1,female,40,4,1,107.93,C,1
3,female,46,1,5,9.61,S,1
2,female,38,1,2,59.55,S,1
2,female,7,5,3,79.27,S,1
3,female,36,5,4,21.89,Q,1
1,male,35,4,4,298.35,Q,1
1,female,4,5,5,190.95,S,1
1,male,2,3,0,260.44,C,1
1,female,48,4,0,114.26,Q,1
2,female,19,5,0,39.5,Q,1
1,male,19,0,2,284.01,C,1
2,female,1,5,4,99.85,Q,1
2,male,45,2,2,47.33,S,1
1,male,71,4,3,267.83,C,1
1,female,60,3,5,145.33,C,1
3,female,74,4,4,7.29,Q,1
1,male,68,2,5,73.75,Q,1
1,female,3,5,2,70.77,C,1
1,female,76,4,1,139.62,C,1
1,female,32,1,3,78.32,C,1
3,female,49,4,4,24.23,C,1
2,female,25,5,5,40.73,C,1
2,male,7,0,5,85.76,Q,1
3,female,56,1,4,42.8,Q,1
3,female,59,0,0,8.7,S,1
2,male,79,5,2,70.74,Q,1
2,male,3,0,2,99.44,C,1
2,male,45,0,5,45.55,C,1
1,male,24,5,2,154.59,S,1
1,male,68,0,3,71.04,C,1
1,female,26,0,2,225.55,Q,1
3,female,22,2,1,35.87,Q,1
1,male,9,0,3,278.92,C,1
3,female,30,5,3,18.43,C,1
1,female,33,2,4,296.85,S,1
2,male,13,3,0,92.82,Q,1
2,male,9,2,3,24.92,S,1
1,male,55,1,5,64.17,C,1
1,male,40,2,2,128.08,S,1
2,male,62,2,5,84.79,Q,0
1,male,58,4,5,285.38,C,1
3,female,75,1,0,9.02,Q,1
1,male,12,4,2,108.38,C,1
1,male,9,2,1,230.35,Q,1
2,male,37,2,5,91.29,S,1
1,female,78,4,5,126.55,C,1
1,female,72,3,5,232.5,S,1
3,female,28,5,5,28.57,C,1
1,female,74,4,1,65.59,C,1
1,female,23,3,5,270.81,S,1
3,female,30,2,1,10.75,S,1
1,female,39,3,5,192.72,C,1
2,female,55,0,1,88.43,C,1
1,female,60,3,3,77.97,Q,1
3,female,57,2,5,35.27,S,1
1,male,9,4,0,296.25,C,1
2,male,67,0,0,66.48,Q,1
3,female,40,0,3,29.94,S,1
1,female,52,5,5,159.31,Q,1
2,male,65,5,0,31.81,C,0
3,female,44,5,0,19.8,Q,1
3,male,77,2,5,10.27,S,0
1,male,56,4,0,108.11,C,1
1,male,74,0,3,162.68,C,1
3,female,54,3,3,18.83,S,1
1,male,14,2,3,137.47,Q,1
3,female,31,4,0,32.65,S,1
2,female,56,3,5,98.52,S,1
3,male,50,1,2,28.75,Q,1
3,female,25,5,1,33.6,S,1
2,female,31,4,3,59.93,S,1
3,female,48,4,4,18.16,S,1
2,female,66,3,3,75.06,Q,1
1,female,78,4,2,199.09,S,1
2,male,13,3,5,95.5,Q,1
3,male,27,0,0,49.91,S,0
3,female,7,3,5,21.41,S,1
3,male,19,0,2,44.78,C,0
2,female,77,4,3,76.07,S,1
2,female,35,1,2,74.38,S,1
1,female,56,0,3,57,C,1
2,female,16,0,5,98.55,S,1
3,female,41,0,3,11.73,S,1
3,female,55,5,2,28.4,C,1
2,female,7,5,2,69.77,C,1
2,male,73,2,1,94.69,Q,1
3,male,11,3,0,40.09,C,1
1,female,36,0,4,208.46,S,1
1,female,8,4,4,112.6,Q,1
3,female,68,2,2,24.46,S,1
2,male,46,4,3,82.73,Q,1
1,male,16,5,1,241.47,S,1
2,female,54,2,2,62.28,S,1
2,male,72,2,0,74.7,S,1
2,female,61,2,5,48.34,S,1
2,female,40,2,3,96.21,Q,1
3,female,11,4,4,48.21,Q,1
3,female,21,2,2,7.72,C,1
3,female,13,3,2,20.67,C,1
3,female,54,5,4,36.38,Q,1
2,male,23,4,2,92.61,C,1
3,female,55,0,0,14.67,C,1
1,female,75,0,1,266.7,C,1
1,female,66,2,2,119.28,Q,1
2,female,55,1,1,30.63,C,1
1,female,35,5,0,208.05,S,1
2,female,61,2,0,57.74,Q,1
2,female,60,2,4,92.29,S,1
1,male,45,1,5,106.55,C,1
2,male,23,0,3,84.35,S,0
2,female,14,5,0,81.29,S,1
2,female,29,3,0,71.81,C,1
1,female,20,5,5,149.48,C,1
1,female,12,1,1,68.3,Q,1
3,male,24,5,3,13.38,C,1
2,male,67,5,2,20.03,Q,1
2,male,72,5,3,80.49,Q,1
1,female,74,2,0,91.91,C,1
2,male,58,2,2,28.28,C,1
2,female,66,2,0,99.75,S,1
1,female,30,4,5,66.02,Q,1
2,male,1,3,5,77.47,C,1
2,female,52,3,2,26.43,C,1
2,male,76,2,1,75.04,S,1
1,female,51,2,1,263.64,S,1
2,female,55,0,3,41.39,C,1
2,female,32,3,2,60.07,C,1
1,female,80,5,4,154.99,C,1
1,female,77,4,1,105.8,Q,1
2,male,24,5,4,82.54,Q,1
2,male,11,5,1,95.28,Q,1
2,male,25,0,1,90.21,Q,0
2,male,74,5,2,36.64,S,1
1,male,79,5,4,205.41,S,1
2,male,5,0,5,89.23,C,1
1,female,53,4,3,201.53,C,1
1,female,19,1,2,231.49,C,1
1,female,67,1,3,172.51,S,1
3,male,70,4,2,30.88,Q,0
2,female,17,0,0,71.37,C,1
2,male,77,2,0,24.16,Q,1
1,male,36,1,1,173.79,S,1
3,male,62,4,4,37.19,C,0
2,female,37,2,1,79.52,S,1
3,male,53,2,1,7.95,S,0
1,male,40,1,0,215.1,C,1
2,male,31,3,3,33.01,Q,0
1,female,12,2,4,290.25,Q,1
2,male,30,1,4,31.99,C,1
1,female,25,4,4,54.19,C,1
3,male,3,5,4,40.61,Q,1
2,female,55,4,0,74.43,S,1
3,female,64,2,0,21.86,Q,1
3,male,54,2,0,25.67,S,1
1,female,37,4,5,68.63,C,1
1,male,4,5,5,281.19,C,1
1,male,60,5,0,78.45,Q,1
1,male,79,4,4,228.57,C,1
1,male,76,5,5,173.93,C,1
1,female,5,2,5,225.79,Q,1
1,female,66,3,3,251.86,Q,1
3,male,20,4,1,15.89,S,0
2,female,27,2,0,95.12,Q,1
2,male,60,2,4,41.39,Q,1
2,male,44,1,0,37.85,Q,0
3,male,45,0,5,12.98,S,1
3,male,77,2,0,6.48,C,0
1,male,17,3,1,174.83,Q,1
3,male,41,3,4,36.14,C,0
2,female,49,3,0,40.36,C,1
2,female,35,5,5,79.24,Q,1
3,male,51,0,1,10.75,C,1
1,female,14,5,0,280.33,Q,1
2,female,37,5,0,83.04,Q,1
1,male,27,3,0,82.56,C,1
1,male,44,4,3,139.52,C,1
2,male,48,1,3,44.9,S,0
1,female,80,1,1,248.55,Q,1
3,male,72,4,5,24.91,Q,1
1,male,73,0,0,132.61,Q,1
3,female,38,2,1,18.26,S,1
2,female,56,4,4,95.25,S,1
1,female,34,5,0,115.38,S,1
3,male,68,2,5,12.32,Q,0
1,female,40,4,3,149.03,Q,1
1,female,15,2,5,225.46,C,1
3,female,68,0,5,19.52,S,1
2,female,35,4,2,41.22,C,1
2,male,24,3,0,48.62,Q,1
2,female,50,3,2,41.79,C,1
2,female,72,3,0,73.39,S,1
2,male,5,4,0,38.82,C,1
3,male,67,3,2,48.44,S,1
2,female,4,3,2,97.64,C,1
3,female,65,1,5,19.58,C,1
3,female,41,2,5,33.29,S,1
3,female,17,1,1,7.46,Q,1
3,female,29,0,1,30.74,S,1
3,female,30,4,3,47.19,S,1
3,male,25,4,0,32.05,C,1
1,male,2,3,0,212.87,S,1
3,male,47,3,1,49.39,C,1
2,male,72,0,4,67.15,C,1
1,female,38,4,0,58.15,C,1
2,female,59,5,2,59.77,S,1
1,male,43,3,5,169.55,S,1
1,male,40,3,2,284.91,Q,1
2,male,31,3,5,82.87,C,1
2,male,42,4,0,49.08,S,1
2,female,12,0,3,38.7,Q,1
3,male,67,4,3,41.88,Q,1
3,female,76,1,5,30.53,C,1
2,male,32,5,5,72.92,C,0
3,male,28,3,0,14.59,Q,1
3,female,36,5,0,28.27,Q,1
1,male,77,5,0,255.72,Q,1
2,female,71,2,5,33.18,C,1
3,male,61,4,5,42.39,S,1
1,female,20,5,5,218.36,Q,1
2,male,25,4,1,63.92,Q,0
2,male,70,1,5,59.44,Q,0
1,male,42,0,0,143.51,Q,1
3,female,58,2,2,23.58,S,1
1,female,80,5,2,241.16,Q,1
1,female,80,4,3,176.86,S,1
3,male,26,0,5,41.09,C,0
1,female,21,5,2,144.43,C,1
1,male,43,4,3,123.21,C,1
1,female,56,2,2,184.79,Q,1
1,female,80,5,0,89.33,C,1
3,female,57,2,2,13.16,Q,1
2,female,37,3,2,57.64,C,1
1,male,18,0,2,205.83,S,1
1,male,2,1,0,127.1,C,1
1,female,33,2,1,295.73,S,1
1,male,78,3,0,219.33,S,1
3,male,12,1,3,38.15,C,1
1,male,5,0,3,290.16,C,1
3,male,32,0,2,20.09,S,0
1,male,78,3,4,106.84,Q,1
3,male,54,4,2,11.38,Q,1
3,female,42,1,1,46.03,Q,1
2,male,43,5,0,71.92,C,1
2,female,32,1,3,80.17,S,1
1,male,12,5,3,264.32,S,1
3,female,61,3,1,10.21,Q,1
3,female,6,4,5,21.19,Q,1
1,female,20,4,3,167.07,C,1
1,female,2,5,3,181.17,C,1
1,female,19,1,0,131.72,S,1
1,male,34,5,1,235.31,S,1
1,male,63,5,5,224.42,S,1
2,male,20,2,2,91.76,S,1
1,male,68,4,1,164.46,S,1
2,female,25,4,2,65.51,Q,1
2,male,2,1,3,41.69,C,1
2,male,15,1,5,40.02,S,1
2,male,32,3,5,92.17,S,1
1,male,25,2,2,129.56,C,1
3,female,55,0,3,7.4,Q,1
3,female,17,4,2,25.82,C,1
3,female,59,5,4,24.95,C,1
2,male,60,3,0,90.12,C,1
3,male,70,5,1,42.12,S,0
2,female,16,3,2,30.89,C,1
3,female,27,0,3,30.94,C,1
2,female,58,1,3,60.57,Q,1
3,male,67,5,4,38.29,Q,1
1,male,50,5,3,215.9,S,1
2,male,52,2,4,84.18,C,0
2,male,17,2,1,60.4,C,0
1,female,79,2,2,99.48,S,1
3,male,9,0,0,41,Q,1
3,male,22,2,4,31.11,Q,0
1,male,40,5,1,250.3,Q,1
2,male,20,1,4,73.52,S,0
1,female,29,5,4,95.4,S,1
3,female,72,3,1,46.78,S,1
2,female,68,3,5,36.64,S,1
3,male,73,0,0,8.73,S,0
1,female,17,4,0,88.31,C,1
1,female,57,2,0,284.5,S,1
3,female,54,4,5,27.54,C,1
2,female,30,4,1,35.85,Q,1
2,female,34,0,2,47.65,S,1
